127.0.0.1 - - [19/Dec/2024:00:05:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:44 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:44 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:56 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:56 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:56 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:56 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:56 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:07:48 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:07:48 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:07:48 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:07:48 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:07:48 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:08:35 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:08:35 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:08:35 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:09:59 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:09:59 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:09:59 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:09:59 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:09:59 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:10:47 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:10:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:10:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:10:47 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:10:47 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:04 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:04 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:04 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:04 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:04 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 200 100665
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 200 109753
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jfif HTTP/1.1" 200 14279
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterdoraemon.jpg HTTP/1.1" 200 107861
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 200 120803
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/postermatbiec.jpg HTTP/1.1" 200 42314
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 200 96889
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 200 19847
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:11:07 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
